source;target;pmid
A02.835.232.834;A02.835.232;33910414
A02.835.232.834;A02.835.232.834;33910414
A02.835.232.087.319;A02;33888023
A02.835.232.087.319;A02.835;33888023
A02.835.232.087.319;A02.835.232;33888023
A02.835.232.087.319;A02.835.232.087;33888023
A02.835.232.087.319;A02.835.232.087.319;33888023
A02.835.232.834.151;A02;33857672
A02.835.232.834.151;A02.835;33857672
A02.835.232.834.151;A02.835.232;33857672
A02.835.232.834.151;A02.835.232.834;33857672
A02.835.232.834.151;A02.835.232.834.151;33857672
A02.835.232.834.717;A02;33845749
A02.835.232.834.717;A02.835;33845749
A02.835.232.834.717;A02.835.232;33845749
A02.835.232.834.717;A02.835.232.834;33845749
A02.835.232.834.717;A02.835.232.834.717;33845749
A01.941.500;A01;33830963
A01.941.500;A01.941;33830963
A01.941.500;A01.941.500;33830963
A01.941.500;A01;33830962
A01.941.500;A01.941;33830962
A01.941.500;A01.941.500;33830962
A02.835.232;A02;33790155
A02.835.232;A02.835;33790155
A02.835.232;A02.835.232;33790155
A10.165.265;A10;33790155
A10.165.265;A10.165;33790155
A10.165.265;A10.165.265;33790155
A02.835.232.087.090.700;A02;33757685
A02.835.232.087.090.700;A02.835;33757685
A02.835.232.087.090.700;A02.835.232;33757685
A02.835.232.087.090.700;A02.835.232.087;33757685
A02.835.232.087.090.700;A02.835.232.087.090;33757685
A02.835.232.087.090.700;A02.835.232.087.090.700;33757685
A02.835.232.043.300.710.300;A02;33745653
A02.835.232.043.300.710.300;A02.835;33745653
A02.835.232.043.300.710.300;A02.835.232;33745653
A02.835.232.043.300.710.300;A02.835.232.043;33745653
A02.835.232.043.300.710.300;A02.835.232.043.300;33745653
A02.835.232.043.300.710.300;A02.835.232.043.300.710;33745653
A02.835.232.043.300.710.300;A02.835.232.043.300.710.300;33745653
A01.378;A01;33739006
A01.378;A01.378;33739006
A01.378;A01;33685766
A01.378;A01.378;33685766
A11.500;A11;33677901
A11.500;A11.500;33677901
A07.015.114.056;A07;33655901
A07.015.114.056;A07.015;33655901
A07.015.114.056;A07.015.114;33655901
A07.015.114.056;A07.015.114.056;33655901
A02.835.232.834.717;A02;33655901
A02.835.232.834.717;A02.835;33655901
A02.835.232.834.717;A02.835.232;33655901
A02.835.232.834.717;A02.835.232.834;33655901
A02.835.232.834.717;A02.835.232.834.717;33655901
A01.941.500;A01;33559165
A01.941.500;A01.941;33559165
A01.941.500;A01.941.500;33559165
A02.835.232.087.090.700;A02;33559165
A02.835.232.087.090.700;A02.835;33559165
A02.835.232.087.090.700;A02.835.232;33559165
A02.835.232.087.090.700;A02.835.232.087;33559165
A02.835.232.087.090.700;A02.835.232.087.090;33559165
A02.835.232.087.090.700;A02.835.232.087.090.700;33559165
A02.835.583.405.930;A02;33559165
A02.835.583.405.930;A02.835;33559165
A02.835.583.405.930;A02.835.583;33559165
A02.835.583.405.930;A02.835.583.405;33559165
A02.835.583.405.930;A02.835.583.405.930;33559165
A02.835.232.043.150;A02;33517739
A02.835.232.043.150;A02.835;33517739
A02.835.232.043.150;A02.835.232;33517739
A02.835.232.043.150;A02.835.232.043;33517739
A02.835.232.043.150;A02.835.232.043.150;33517739
A02.835.232.043.825.108;A02;33517736
A02.835.232.043.825.108;A02.835;33517736
A02.835.232.043.825.108;A02.835.232;33517736
A02.835.232.043.825.108;A02.835.232.043;33517736
A02.835.232.043.825.108;A02.835.232.043.825;33517736
A02.835.232.043.825.108;A02.835.232.043.825.108;33517736
A02.835.583.411;A02;33517736
A02.835.583.411;A02.835;33517736
A02.835.583.411;A02.835.583;33517736
A02.835.583.411;A02.835.583.411;33517736
A02.835.232.043.650.883;A02;33463713
A02.835.232.043.650.883;A02.835;33463713
A02.835.232.043.650.883;A02.835.232;33463713
A02.835.232.043.650.883;A02.835.232.043;33463713
A02.835.232.043.650.883;A02.835.232.043.650;33463713
A02.835.232.043.650.883;A02.835.232.043.650.883;33463713
A01.378;A01;33442922
A01.378;A01.378;33442922
A02.835.232.087.090.700;A02;33399403
A02.835.232.087.090.700;A02.835;33399403
A02.835.232.087.090.700;A02.835.232;33399403
A02.835.232.087.090.700;A02.835.232.087;33399403
A02.835.232.087.090.700;A02.835.232.087.090;33399403
A02.835.232.087.090.700;A02.835.232.087.090.700;33399403
A02.835.232.087.090.850;A02;33399403
A02.835.232.087.090.850;A02.835;33399403
A02.835.232.087.090.850;A02.835.232;33399403
A02.835.232.087.090.850;A02.835.232.087;33399403
A02.835.232.087.090.850;A02.835.232.087.090;33399403
A02.835.232.087.090.850;A02.835.232.087.090.850;33399403
A01.378.800.875;A01;33399403
A01.378.800.875;A01.378;33399403
A01.378.800.875;A01.378.800;33399403
A01.378.800.875;A01.378.800.875;33399403
