source;target;pmid
A11.251.860.180;A11.251.860.180;36035366
A11.251.210.190;A11;36027697
A11.251.210.190;A11.251;36027697
A11.251.210.190;A11.251.210;36027697
A11.251.210.190;A11.251.210.190;36027697
A11.251.860.180;A11;36027697
A11.251.860.180;A11.251;36027697
A11.251.860.180;A11.251.860;36027697
A11.251.860.180;A11.251.860.180;36027697
A11.251.210.190;A11;36014483
A11.251.210.190;A11.251;36014483
A11.251.210.190;A11.251.210;36014483
A11.251.210.190;A11.251.210.190;36014483
A11.251.860.180;A11;36014483
A11.251.860.180;A11.251;36014483
A11.251.860.180;A11.251.860;36014483
A11.251.860.180;A11.251.860.180;36014483
A11.251.210.172.750;A11;36014483
A11.251.210.172.750;A11.251;36014483
A11.251.210.172.750;A11.251.210;36014483
A11.251.210.172.750;A11.251.210.172;36014483
A11.251.210.172.750;A11.251.210.172.750;36014483
A11.436.334;A11;36014483
A11.436.334;A11.436;36014483
A11.436.334;A11.436.334;36014483
A11.251.210;A11;36012610
A11.251.210;A11.251;36012610
A11.251.210;A11.251.210;36012610
A11.251.210.190;A11;36012610
A11.251.210.190;A11.251;36012610
A11.251.210.190;A11.251.210;36012610
A11.251.210.190;A11.251.210.190;36012610
A11.251.860.180;A11;36012610
A11.251.860.180;A11.251;36012610
A11.251.860.180;A11.251.860;36012610
A11.251.860.180;A11.251.860.180;36012610
A02.835.232;A02;36012473
A02.835.232;A02.835;36012473
A02.835.232;A02.835.232;36012473
A10.165.265;A10;36012473
A10.165.265;A10.165;36012473
A10.165.265;A10.165.265;36012473
A11.251.210.190;A11;36004691
A11.251.210.190;A11.251;36004691
A11.251.210.190;A11.251.210;36004691
A11.251.210.190;A11.251.210.190;36004691
A11.251.860.180;A11;36004691
A11.251.860.180;A11.251;36004691
A11.251.860.180;A11.251.860;36004691
A11.251.860.180;A11.251.860.180;36004691
A11.251.210.190;A11;36004648
A11.251.210.190;A11.251;36004648
A11.251.210.190;A11.251.210;36004648
A11.251.210.190;A11.251.210.190;36004648
A11.251.860.180;A11;36004648
A11.251.860.180;A11.251;36004648
A11.251.860.180;A11.251.860;36004648
A11.251.860.180;A11.251.860.180;36004648
A02.835.232;A02;36002655
A02.835.232;A02.835;36002655
A02.835.232;A02.835.232;36002655
A10.165.265;A10;36002655
A10.165.265;A10.165;36002655
A10.165.265;A10.165.265;36002655
A11.118.637.555.567.650;A11;36000370
A11.118.637.555.567.650;A11.118;36000370
A11.118.637.555.567.650;A11.118.637;36000370
A11.118.637.555.567.650;A11.118.637.555;36000370
A11.118.637.555.567.650;A11.118.637.555.567;36000370
A11.118.637.555.567.650;A11.118.637.555.567.650;36000370
A15.145.229.637.555.567.650;A15;36000370
A15.145.229.637.555.567.650;A15.145;36000370
A15.145.229.637.555.567.650;A15.145.229;36000370
A15.145.229.637.555.567.650;A15.145.229.637;36000370
A15.145.229.637.555.567.650;A15.145.229.637.555;36000370
A15.145.229.637.555.567.650;A15.145.229.637.555.567;36000370
A15.145.229.637.555.567.650;A15.145.229.637.555.567.650;36000370
A15.382.490.555.567.650;A15;36000370
A15.382.490.555.567.650;A15.382;36000370
A15.382.490.555.567.650;A15.382.490;36000370
A15.382.490.555.567.650;A15.382.490.555;36000370
A15.382.490.555.567.650;A15.382.490.555.567;36000370
A15.382.490.555.567.650;A15.382.490.555.567.650;36000370
A10.165.114;A10;35999486
A10.165.114;A10.165;35999486
A10.165.114;A10.165.114;35999486
A11.329.830;A11;35999486
A11.329.830;A11.329;35999486
A11.329.830;A11.329.830;35999486
A08.186.211;A08;35994183
A08.186.211;A08.186;35994183
A08.186.211;A08.186.211;35994183
A11.329.372;A11;35989576
A11.329.372;A11.329;35989576
A11.329.372;A11.329.372;35989576
A11.627.482;A11;35989576
A11.627.482;A11.627;35989576
A11.627.482;A11.627.482;35989576
A11.733.397;A11;35989576
A11.733.397;A11.733;35989576
A11.733.397;A11.733.397;35989576
A15.382.670.522;A15;35989576
A15.382.670.522;A15.382;35989576
A15.382.670.522;A15.382.670;35989576
A15.382.670.522;A15.382.670.522;35989576
A15.382.680.397;A15;35989576
